taskID,taskIDName,name,title,anafun,anafunMatlab,R
97961,Anticipation,宇宙加氧站,宇宙加氧站,INPROGRESS,0,
99984,Jigsaw1,自由拼图,自由拼图（黑白版）,,0,
99985,Jigsaw2,自由拼图,自由拼图（彩色版）,,0,
97960,TempDiscounting,消灭敌机,消灭敌机,,0,
99969,BART,吹气球,吹气球,BART,BART,MISSED
97962,BART,吹气球,吹气球-v4,BART,BART,MISSED
97943,DCCS,卡片分类,卡片分类-初级,control,Control,MISSED
97932,DCCS,卡片分类,卡片分类-v4,control,Control,MISSED
100001,Flanker,方向达人,方向达人,control,Control,
98001,Flanker,方向达人,方向达人-v3,control,Control,
97956,Flanker,方向达人,方向达人-v4,control,Control,
99973,NumStroop,数字大小混淆,数字大小混淆,control,Control,
97939,NumStroop,数字大小混淆,数字大小混淆-v4,control,Control,
100029,Stroop1,颜色达人,颜色达人初级,control,Control,
98029,Stroop1,颜色达人,颜色达人初级-v3,control,Control,
99999,Stroop2,颜色达人,颜色达人中级,control,Control,
98999,Stroop2,颜色达人,颜色达人中级-v3,control,Control,
99990,TaskSwitching,思维转换,思维转换,control,Control,
97941,TaskSwitching,思维转换,思维转换-v4,control,Control,
97959,TaskSwitching2,反应转换,反应转换,control,Control,
97949,TaskSwitching2,反应转换,反应转换-v4,control,Control,
97954,Filtering,班务达人,班务达人-v4,,FLT,
97955,Filtering2,科学达人,科学达人-v4,,FLT,
99991,AssocMemory,联系记忆,联系记忆,,Memrep,
97967,AssocMemory,联系记忆,联系记忆-v4,,Memrep,
99986,LTMemSemantic,语义记忆,语义记忆,,Memrep,
99987,DRM,言语记忆,言语记忆,,Memsep,
99988,PatternSep,图片记忆,图片记忆,,Memsep,
97968,PatternSep,图片记忆,图片记忆-v4,,Memsep,
99970,DigitCmp,数字大小比较,数字大小比较,,Mentcompare,
97940,DigitCmp,数字大小比较,数字大小比较-v4,,Mentcompare,
99971,Subitizing,数感,数感,,Mentcompare,
97938,Subitizing,数感,数感-v4,,Mentcompare,
97994,RunMemAlpha,记忆尾巴,记忆尾巴（字母）,,MT,
97997,RunMemDigit,记忆尾巴,记忆尾巴（数字）,,MT,
97992,RunMemSpatial,记忆尾巴,记忆尾巴（空间位置）,,MT,
97993,RunMemWord,记忆尾巴,记忆尾巴（词语）,,MT,
100008,CPT1,捉虫,捉虫,,NSN,
98008,CPT1,捉虫,捉虫-v3,,NSN,
97969,CPT1,捉虫,捉虫-v4,,NSN,
99974,CPT2,捉虫,捉虫(高级版),,NSN,
97957,CPT2,捉虫,捉虫(高级版)-v4,,NSN,
100010,DivAtten1,分配注意,分配注意初级,,NSN,
97976,DivAtten1,分配注意,分配注意初级-v4,,NSN,
100018,DivAtten2,分配注意,分配注意中级,,NSN,
97947,DivAtten2,分配注意中级,分配注意中级-v4,,NSN,
100019,DRT,分辨速度,分辨速度(蓝色向左，红色不操作),,NSN,
99998,DRT,分辨速度,分辨速度(红色向右、蓝色不操作),,NSN,
99996,DRT,分辨速度,分辨速度儿童版(太阳向右、月亮不操作),,NSN,
99995,DRT,分辨速度,分辨速度儿童版(月亮向右、太阳不操作),,NSN,
98098,DRT,分辨速度,分辨速度(红色向右、蓝色不操作)-v3,,NSN,
98096,DRT,分辨速度,分辨速度儿童版(太阳向右、月亮不操作)-v3,,NSN,
98095,DRT,分辨速度,分辨速度儿童版(月亮向右、太阳不操作)-v3,,NSN,
98019,DRT,分辨速度,分辨速度(蓝色向左，红色不操作)-v3,,NSN,
100016,GNGFruit,水果忍者,水果忍者,,NSN,
98016,GNGFruit,水果忍者,水果忍者-v3,,NSN,
97982,GNGFruit,水果忍者,水果忍者-v4,,NSN,
97963,GNGFruit,水果忍者,水果忍者（中级）-v4,,NSN,
99992,GNGLure,抵制诱惑,抵制诱惑,,NSN,
97945,GNGLure,抵制诱惑,抵制诱惑-v4,,NSN,
99976,Lexic,词语判断,词语判断,,NSN,
97971,Lexic,词语判断,词语判断-v4,,NSN,
97973,Orthograph,字形判断,字形判断-v4,,NSN,
99978,Orthography,字形判断,字形判断,,NSN,
99975,Pinyin,拼音判断,拼音判断,,NSN,
97965,Pinyin,拼音判断,拼音判断-v4,,NSN,
99980,Semantic,语义判断,语义判断(高级),,NSN,
97974,Semantic,语义判断,语义判断(高级)-v4,,NSN,
99979,Symbol,符号判断,符号判断,,NSN,
97972,Symbol,符号判断,符号判断-v4,,NSN,
99977,Tone,声调判断,声调判断,,NSN,
97970,Tone,声调判断,声调判断-v4,,NSN,
98097,CRT,选择速度,选择速度儿童版（月亮向左，太阳向右）-v3,,SAT,
100007,CRT,选择速度,选择速度,,SAT,
99997,CRT,选择速度,选择速度儿童版（月亮向左，太阳向右）,,SAT,
98007,CRT,选择速度,选择速度-v3,,SAT,
97964,CRT,选择速度,选择速度-v4,,SAT,
100004,Nback1,数字魔法师,数字魔法师初级,,SAT,
97999,Nback1,数字魔法师,数字魔法师初级,,SAT,
97977,Nback1,数字魔法师,数字魔法师初级-v4,,SAT,
100005,Nback2,数字魔法师,数字魔法师中级,,SAT,
97946,Nback2,数字魔法师中级,数字魔法师中级-v4,,SAT,
100011,SpeedAdd,速算师,速算师-初级,,SAT,
97981,SpeedAdd,速算师,速算师-初级-v4,,SAT,
99989,SpeedSubtract,速算师,速算师-中级,,SAT,
97951,SpeedSubtract,速算师,速算师(中级)-v4,,SAT,
100003,DigitBackSpan,倒背数,倒背数,,Span,
98003,DigitBackSpan,倒背数,倒背数-v3,,Span,
97950,DigitBackSpan,倒背数,倒背数-v4,,Span,
100002,DigitForSpan,顺背数,顺背数,,Span,
98002,DigitForSpan,顺背数,顺背数-v3,,Span,
97975,DigitForSpan,顺背数,顺背数-v4,,Span,
99981,MOT,雷达追踪,雷达追踪,,Span,
97978,MOT,雷达追踪,雷达追踪-v4,,Span,
100023,SpatialForSpan,位置记忆,位置记忆,,Span,
98023,SpatialForSpan,位置记忆,位置记忆-v3,,Span,
97980,SpatialForSpan,位置记忆,位置记忆-v4,,Span,
100022,SRT,反应速度,反应速度（红色）,,SRT,
1e5,SRT,反应速度,反应速度（蓝色）,,SRT,
99994,SRT,反应速度,反应速度儿童版（太阳）,,SRT,
99993,SRT,反应速度,反应速度儿童版（月亮）,,SRT,
98094,SRT,反应速度,反应速度儿童版（太阳）-v3,,SRT,
98093,SRT,反应速度,反应速度儿童版（月亮）-v3,,SRT,
98022,SRT,反应速度,反应速度（红色）-v3,,SRT,
98e3,SRT,反应速度,反应速度（蓝色）-v3,,SRT,
100021,SRTBread,面包大师,面包大师,,SRT,
100020,SRTWatch,超级秒表,超级秒表,,SRT,
97979,SRTWatch,超级秒表,超级秒表-v4,,SRT,
135670,StopSignal,红绿灯,红绿灯-V4,,StopSignal,
97966,StopSignal,红绿灯,红绿灯,,StopSignal,
97985,TMT,连线,连线,,TMT,
97991,LTMemSymbol,符号记忆,符号记忆,,,
97948,LTMemSymbol,符号记忆-v4,符号记忆-v4,,,
97934,NumEstimation,宇航员,宇航员-v4,,,
97990,WCST,卡片分类,卡片分类,,,
99972,INPROGRESS,注意搜索,注意搜索,,,
97998,INPROGRESS,快速译码,快速译码,,,
97996,INPROGRESS,图片空间记忆,图片空间记忆,,,
97995,INPROGRESS,视觉搜索,视觉搜索,,,
97988,INPROGRESS,动物达人,动物达人（初级）,,,
97987,INPROGRESS,蝴蝶照相机,蝴蝶照相机初级,,,
97986,INPROGRESS,蝴蝶照相机,蝴蝶照相机中级,,,
97983,INPROGRESS,动物达人,动物达人（中级）,,,
97937,INPROGRESS,识字量,识字量-v4,,,
97936,INPROGRESS,拼音加工,拼音加工-v4,,,
97935,INPROGRESS,词语加工,词语加工-v4,,,
97931,INPROGRESS,符号加工,符号加工-v4,,,
97930,INPROGRESS,文字短时记忆,文字短时记忆-v4,,,
97929,INPROGRESS,言语魔法师初级,言语魔法师初级-v4,,,
97928,INPROGRESS,言语魔法师中级,言语魔法师中级-v4,,,
97927,INPROGRESS,形音联系,形音联系-v4,,,
99983,DEPRECATED,同音判断,同音判断,,,
99982,DEPRECATED,语义判断,语义判断,,,
97989,DEPRECATED,联系记忆,联系记忆高级版,,,
97984,DEPRECATED,注意线索,注意线索,,,
97942,DEPRECATED,连线,连线-初级,,,
